Janelamento Ocupacao mediaCadaFold desvioPadraoCadaFold MediaDaMedia DesvioPadraoDoDesvioPadrao
7 0 [-2.720338336669168e-06, -1.4322690091026711e-05, -2.22996688482902e-06, 1.0092845231059637e-05, 8.686210398161864e-06, 8.774062342199829e-06, -1.6856057948278523e-05, -9.587569000926745e-06, 1.6744182367381336e-05, -1.2470055319078502e-05] [1.6375393807140564, 1.6471457168659405, 1.6336126074377393, 1.6392416199971693, 1.6306160811101436, 1.634689769743136, 1.6360326184841694, 1.644452663255455, 1.6395749330575762, 1.6345980775508426] -1.3889377242006007e-06 0.004786070411778747
7 10 [9.91244612059743, 9.886685331223173, 10.10886352544531, 9.909149158609134, 10.071335458025674, 9.906341417559759, 9.977304582102867, 10.0138847666795, 9.806162040367674, 10.128484247969547] [20.33174081531505, 20.423472726646178, 20.700710338930772, 20.230509776823023, 20.788311858169855, 20.442794269516224, 20.699639784736267, 20.68806904251652, 20.134985521459924, 20.831110238113258] 9.972065664858006 0.23328227780888725
7 20 [19.86457514016023, 19.833667204207902, 20.158034969301983, 20.00483789256371, 19.964323372621628, 20.058520111086963, 19.95999765985926, 19.957095502837507, 19.999094796330386, 20.205452506453454] [27.905160314572804, 27.931456554631957, 28.29367926086178, 28.335913181858306, 28.026130815422174, 28.229233227594833, 28.265851694145066, 28.02419449753576, 28.38537776726793, 28.422509440314112] 20.0005599155423 0.18254887038259762
7 30 [29.98620358374907, 29.776052550154276, 29.922018746778896, 30.134231919072274, 30.01688415701934, 30.137907004322503, 30.064093347106343, 30.04839151213168, 30.075136825697175, 30.214893665003935] [33.52338922453057, 33.51620976876996, 33.4268769619513, 33.69597604302608, 33.54002953285794, 33.91894930645159, 33.54989465304398, 33.696018525810246, 33.67176501744452, 33.599851614713884] 30.037581331103553 0.13128116947010243
7 40 [39.89745513005025, 39.99416551911941, 40.116351388334294, 39.95898061271505, 40.17911301098404, 40.00476518420543, 40.21852422147796, 39.85808547393556, 39.891674541598796, 40.24129217415874] [37.60655316246536, 37.99985466168599, 37.79335995997706, 37.76241121359132, 38.14115589925636, 37.783744869397225, 37.852833467550425, 37.74267037891889, 37.88624762785583, 38.09622963868136] 40.03604072565795 0.1589057154969238
7 50 [49.8484224260718, 49.861553591541686, 50.246073376317874, 50.201439299173785, 50.20284613948383, 50.25335296550527, 49.947487288723714, 50.03995040876081, 49.81166715458285, 49.84477706458404] [41.10952227620722, 41.29619716518594, 41.38681955857652, 41.55430200868917, 41.29637168209152, 41.38477928052457, 41.053651980248524, 41.46077622989373, 41.59055394720372, 41.20047933598632] 50.025756971474564 0.16895184039116687
7 60 [59.94624658723302, 60.064355234227065, 60.283280128651896, 60.20198148508751, 60.22015913454269, 59.97762893527285, 60.11805678127773, 59.73906186225063, 59.919426525115405, 59.87879087633093] [43.96747342701165, 44.01274894979701, 44.23997156470314, 44.05347284790014, 44.09080514263104, 44.0177247138196, 44.43058355118061, 44.05508897278577, 44.10312942971161, 43.982971628289114] 60.034898754998984 0.13363482518986994
7 70 [69.9439708737858, 70.10292859335671, 70.22958299934027, 70.29775970066424, 69.992386891629, 70.25714455514094, 69.75240062409522, 69.96891194667433, 69.83911851017021, 69.67078237720234] [46.40984561953005, 46.33884163259718, 46.50344755224187, 46.384225159065785, 46.24876291362057, 46.690981709327616, 46.41806952618378, 46.41994323930085, 46.189350206433936, 46.15158314248293] 70.00549870720592 0.14937838884463575
7 80 [80.01013676824722, 80.0684618676208, 80.28619315558004, 80.02124745454535, 80.13076320867137, 79.86403847528804, 80.03703630419476, 79.75774798730481, 79.93433379680837, 79.92289799007288] [48.191654986036326, 48.0935326742637, 48.28470299014761, 48.204807479661156, 48.36947511321793, 48.418666695470684, 48.34781949677193, 47.912008922391756, 48.08571160894096, 48.11438265006831] 80.00328570083336 0.14841475482287858
7 90 [89.88575743343112, 90.25011521860787, 90.35263995876112, 90.02680292890469, 90.02896163437062, 89.81536818788375, 89.76983265407839, 89.88121571301302, 90.04086976115394, 89.70305352574346] [49.38923214749038, 49.87992714416775, 49.74819800422685, 49.664689654206555, 49.89110418373261, 49.742031235971574, 49.60880706897627, 49.48423217897311, 49.62342122405155, 49.46118063461381] 89.9754617015948 0.16212829370325546
7 100 [99.86496739789605, 100.37188070654605, 100.3557391817204, 100.00702637570058, 99.73227258541486, 99.83809040241249, 99.66354903801948, 100.0279462778909, 99.6993616273045, 99.67641536968172] [50.586018815039935, 50.87849453993904, 50.764889503057034, 50.83470357588622, 50.94167700703683, 50.717948839477344, 50.4395890356757, 50.709243749301656, 50.59043517579809, 50.49306847486973] 99.92372489625872 0.15762901925447081
9 0 [-1.2347673866729914e-05, -1.4695325459945026e-05, -7.485021793076017e-07, 8.955032746934314e-06, -2.4527555800750237e-06, 3.155930020012299e-05, -2.119507304953874e-05, 3.0735319592437785e-06, -4.7368232513928275e-06, -1.4729163149093177e-05] [1.5034405297828524, 1.5143990566050083, 1.5007396831409303, 1.5049474457254435, 1.4991286602842075, 1.499061054125227, 1.5020516912509334, 1.5106255121202021, 1.5056401968275612, 1.499482915470558] -2.7317451629781233e-06 0.004887413469427436
9 10 [9.912409901079528, 9.886655468358152, 10.108988259726587, 9.909230056571147, 10.071316040075725, 9.906307896681954, 9.977148622920438, 10.013665517075303, 9.806373974208826, 10.128481920088838] [19.542457617064297, 19.64432356859861, 19.896628046615017, 19.449358347352664, 19.982053216397468, 19.6392438081137, 19.90772801702504, 19.89635047309643, 19.34116281206348, 20.036004205641937] 9.97205776567865 0.22907918495653917
