Janelamento Ocupacao MediaDaMedia DesvioPadraoDoDesvioPadrao MediaDesvioPadr�o
7 0 0.0031738935883488125 0.023610577712509444 1.637499609377603
7 10 -10.01056024790631 0.6952654493622122 20.444738104533585
7 20 -19.976169944366184 0.8369595512141096 28.12507053315408
7 30 -29.9740211733711 0.8043860492058417 33.54349842378445
7 40 -40.02945733665759 0.818308534858046 37.86920461134409
7 50 -50.01344111291926 0.9199188940890799 41.24856167671552
7 60 -60.05505095594995 0.8916238630722284 44.20342409419258
7 70 -69.93327060530804 0.8003171763724722 46.36203832292424
7 80 -79.93782309148423 0.9124725477287325 48.256591790629365
7 90 -89.75517338454172 0.9691636099521451 49.56860733716722
7 100 -99.95698266975106 0.9138613352106632 50.60254773067293
9 0 -0.0009302664831775451 0.02275053307882112 1.5055989917015582
9 10 -9.940671811380078 0.8338013334753261 19.67701711336001
9 20 -20.026216338691597 0.9394608467716496 27.061664269654297
9 30 -30.06907685325007 0.7873061659752427 32.372322469156295
9 40 -40.066241960220815 0.9110120769867956 36.4728781339766
9 50 -50.05290452119097 0.9221776029500945 39.86325000645527
9 60 -59.95113404511131 0.7889001236774332 42.405065210440135
9 70 -70.05835013373574 0.8810018249048279 44.8156352266109
9 80 -80.03551970340058 1.0683297283353463 46.563352880826386
9 90 -89.84807503868217 1.0283589561743691 47.92400907388316
9 100 -99.94821271829001 1.060257712824449 48.967909902965005
11 0 0.0018962799856452445 0.022568510703394554 1.4317670017049764
11 10 -9.996269306241265 0.8208874493380408 17.921909919936695
11 20 -20.008409462435967 0.8789274878119909 24.445818052917666
11 30 -30.027801124928484 0.8296337320146003 29.068520788364484
11 40 -40.018172626602585 0.8650918453912347 32.837785284204585
11 50 -49.93863661914206 0.911719689651026 36.029286035876545
11 60 -59.91445496794172 0.9588942092656518 38.52689883994304
11 70 -70.01643476955995 0.937813703846196 40.53962388285282
11 80 -80.03403827497289 0.9084088680934198 42.26952635506529
11 90 -89.9303030573837 1.0203928537370341 43.605117037589906
11 100 -99.82449283447093 1.0043370929906361 44.66258133305061
13 0 3.1932411067807714e-05 0.023955504882404458 1.385264040229255
13 10 -9.940785935900312 0.8344026173782487 17.32482641928157
13 20 -20.066779419602717 0.8749830474448935 23.81631050313506
13 30 -30.072754226925067 0.8809209484947571 28.48073573120514
13 40 -40.0366548370367 0.8665830803684023 32.039859348446164
13 50 -50.07351852613802 1.058291510235323 35.00228753688288
13 60 -60.09032009021455 1.0360498432082652 37.43702935268604
13 70 -69.96198363169056 0.9389356599055962 39.654884036800155
13 80 -79.97375494029589 1.0440659656615152 41.14832289205533
13 90 -89.94607399168689 0.9595229979687343 42.66885880767158
13 100 -99.92909908074324 1.103634625646043 43.61056088363862
15 0 0.00025911372526797913 0.027704472954043366 1.36212804633602
15 10 -10.02854597885697 0.7482078156953587 16.553168337464353
15 20 -20.047424463566514 0.8279735671225662 22.600352681868
15 30 -30.1339038275372 0.8573740733254384 26.90507519579882
15 40 -40.101465459696975 1.0328007500293335 30.484047397262255
15 50 -50.108818312436846 1.0187767678550974 33.37193043886207
15 60 -59.91724626741923 0.8921954436541566 35.56051252679321
15 70 -70.13979097559766 0.9423842554835994 37.56927152916302
15 80 -80.09172692433974 0.939823715180579 39.296538114263996
15 90 -89.91767807367073 1.0715625571418634 40.66560337537872
15 100 -99.90256175920072 1.1165496544926465 41.75652907385424
17 0 0.004754072435475978 0.028436941150863062 1.3373371913254035
17 10 -9.933213760359283 0.8781102716574746 16.18498265570759
17 20 -20.00798236954826 0.903754338153893 22.181838784284103
17 30 -30.006701774119506 1.0235641329342335 26.46582641356539
17 40 -40.02967730817772 0.9817137752831778 29.90180391785777
17 50 -50.08754611489028 1.0188010506709144 32.94835936682998
17 60 -59.913979873319434 1.0940167134143415 34.93172832122198
17 70 -70.01428046028668 0.9760766255656483 36.85844127954162
17 80 -79.9406855785612 0.9422914239681054 38.61441490752421
17 90 -89.93866824616448 1.1597692052152924 39.97655153977885
17 100 -99.88662231320403 1.1829053113590464 40.95256184183863
19 0 -0.007664311523513577 0.02828034072902469 1.3176399204823275
19 10 -9.934817900463106 0.9186269964433322 15.86017334512439
19 20 -19.987190074727803 1.0259285556760183 21.521948647012415
19 30 -30.140279776072756 0.9062520108855118 25.858073997920947
19 40 -40.11854445525595 1.0550108012145984 29.02757642554041
19 50 -50.00209708361551 1.0219691482947206 31.93185709213036
19 60 -59.82417850082768 1.1340073899699465 33.98620741543473
19 70 -70.02147119803482 1.0955249642441685 35.811790589418536
19 80 -79.8142631470711 1.1673980823511538 37.49093598413816
19 90 -89.75647290840429 1.1695103960355238 38.72549815698673
19 100 -99.88506510922733 0.9373295110885497 39.96180097264711
