Janelamento Ocupacao MediaDaMedia DesvioPadraoDoDesvioPadrao MediaDesvioPadrão
7 0 -0.0017089609095295197 0.009364231061404 1.2068303823715427
7 10 -0.037270834461451165 0.430054364360557 13.484851865376948
7 20 -0.2715046508092358 0.4310738087489794 18.45918176954769
7 30 -0.2819063068308003 0.4018278814115368 22.11869201341088
7 40 -0.4847004746195207 0.3837474072961855 25.002886957078477
7 50 -0.19175295701287662 0.4167867805095891 27.46674360502274
7 60 -0.1377917894977371 0.4013204277414595 29.506254546357837
7 70 -0.07247130720169262 0.4189679066847525 31.274908462628318
7 80 0.4092062767959764 0.3948752537491771 32.793827158377184
7 90 0.8360889287378876 0.4148642293088034 34.0787199193387
7 100 2.0218646056658 0.39899933903295176 35.1613581901995
9 0 -0.0017098393711178666 0.009378839431037005 1.2068280584780218
9 10 0.7863552227634123 0.431757675420053 12.771575716297878
9 20 1.3896112079606229 0.4409526431242455 17.39894382188303
9 30 2.3543051697410085 0.4120867704580317 20.83861913597752
9 40 3.0537157085135647 0.38812176826939804 23.591448907630706
9 50 4.181376336713029 0.431357988834264 25.956410237277524
9 60 5.265165414853223 0.41454574050941667 27.944624338363084
9 70 6.09606554742445 0.4101296730230658 29.67591631763572
9 80 7.412904198249871 0.3956148928303131 31.180880162406982
9 90 8.691548162794158 0.4176289909662091 32.491884569546166
9 100 10.799261178913087 0.4083974632887426 33.630078545741995
11 0 -0.0017076673505627353 0.009384914165506653 1.2068249171803576
11 10 0.12296361802944256 0.4292525869744662 12.401970064211069
11 20 -0.00897275549892608 0.44537539003619653 16.84124422385786
11 30 0.20276846728273276 0.41860413711937317 20.162075083544252
11 40 0.13175529157106108 0.3956937457898182 22.844584918943106
11 50 0.46468834480804533 0.439945182961463 25.146512001949624
11 60 0.8386638149679834 0.42506836874188675 27.11098379023907
11 70 0.9568490627437104 0.404023144360598 28.821312485494254
11 80 1.5512501025247647 0.40269612577371405 30.31925191376243
11 90 2.006221591964132 0.4158974245349959 31.645035491426125
11 100 3.186473802844408 0.40284732873718804 32.806963562576776
13 0 -0.001708763776375049 0.009390229235586705 1.206824645466626
13 10 0.4891614849898309 0.4284306656310536 12.215202739148845
13 20 0.7892043219973622 0.4491360030875864 16.552975720465493
13 30 1.437097329414326 0.41776439590165415 19.811413680935303
13 40 1.881243148882297 0.394494491937274 22.455984027054818
13 50 2.5014212218244256 0.4403023120150275 24.72849423147324
13 60 3.3717853014446746 0.4270552199276026 26.678224109588196
13 70 3.946039632977385 0.4010874851410168 28.3691393339076
13 80 4.9390339626366275 0.40789284411355603 29.871014597656114
13 90 5.7972987607333195 0.41151412970788165 31.20587819733552
13 100 7.540766914001416 0.39588803656231064 32.37398239279408
15 0 -0.0017090329041880672 0.009400318903659036 1.2068239625552377
15 10 0.27806577589166376 0.42984896971889397 12.132316396412158
15 20 0.2707968371612352 0.4481176379024433 16.42000358323912
15 30 0.5718085683541414 0.420086438438601 19.646431974867827
15 40 0.6406792534661992 0.3950684869453083 22.272771376571278
15 50 0.8924348933897971 0.4396136510169644 24.53211113701759
15 60 1.3726382565725288 0.4284526849989305 26.475614263162665
15 70 1.7621390721760768 0.40229076179460427 28.154195279404753
15 80 2.32754526058941 0.4087429847822247 29.661029704385967
15 90 2.807132438024062 0.40926103299620886 31.000619001256734
15 100 4.116302014106331 0.39261797184672315 32.170406689648715
17 0 -0.0017084145820479902 0.009411419161804883 1.2068245048849222
17 10 0.4357860194119745 0.430054089629918 12.096782971618536
17 20 0.6332917985012543 0.4467181037014065 16.361640207050904
17 30 1.1125173561739687 0.4225634873471329 19.572398267072153
17 40 1.4120928739429417 0.39617087148919894 22.19130970737362
17 50 1.819163529339976 0.43735415730645133 24.44318960917306
17 60 2.5870424106052963 0.43133809398732764 26.384532409694156
17 70 3.0001781622014754 0.40461478897759723 28.057944677745503
17 80 3.8023321801616192 0.4093984112109973 29.565962721140494
17 90 4.657775917782133 0.40804492861801517 30.907026620003123
17 100 6.147496031971144 0.3896723163664435 32.078600096003605
19 0 -0.0017073720372573296 0.00941899485323053 1.206825716050515
19 10 0.32100540376510645 0.43002271418029897 12.080754791667996
19 20 0.44440542559386886 0.4456808645578399 16.336116981103963
19 30 0.8312742043622324 0.4222918273292614 19.54040142985953
19 40 0.9131135578743322 0.39712352988035293 22.154436038330868
19 50 1.1179047569167069 0.4368088709923306 24.40390198511964
19 60 1.8087155584190062 0.43346603944112594 26.34413588193996
19 70 2.1310260428112806 0.40625163082952415 28.01505726634795
19 80 2.758551316937692 0.4099981156306848 29.523337073213696
19 90 3.449395901568949 0.4071921919968433 30.86576038151272
19 100 4.736643205768941 0.38830879173879 32.036827869266055
